old_class,family,used_in_html,exact_match,suggested_new_class,confidence,source,alternatives
"abundance-media-frame--square","media/masks","yes","no","","0","similarity",""
"abundance-media-frame--wide","media/masks","yes","no","","0","similarity",""
"abundance-mock-spacer","other","yes","no","","0","similarity",""
"abundance-related-link","buttons/links","yes","yes","abundance-related-link","1","exact",""
"abundance-route-choice","buy-flow","yes","no","abundance-radio-card","0.9","manual",""
"abundance-route-choice--pink","buy-flow","yes","no","abundance-radio-card--primary","0.9","manual",""
"abundance-route-choice--teal","buy-flow","yes","no","abundance-radio-card--secondary","0.9","manual",""
"abundance-route-choice__card","buy-flow","yes","no","abundance-radio-card__label","0.9","manual",""
"abundance-route-choice__input","buy-flow","yes","no","abundance-radio-card__input","0.9","manual",""
"abundance-route-choice__list","buy-flow","yes","no","","0","similarity",""
"abundance-route-choice__rule","buy-flow","yes","no","abundance-radio-card__indicator","0.9","manual",""
"abundance-route-choice__tick","buy-flow","yes","no","abundance-radio-card__tick","0.9","manual",""
"abundance-stat","type/colour","yes","yes","abundance-stat","1","exact",""
"abundance-step-num","buy-flow","yes","no","","0","similarity",""
"abundance-step-num--lg","buy-flow","yes","no","","0","similarity",""
"abundance-support-link","buttons/links","yes","no","si-btn","0.053","similarity","si-btn-back (0.038) | si-btn-group (0.038) | si-btn-with-icon (0.030)"
"abundance-warning-list","editorial/accordion","yes","no","","0","similarity",""
"abundance-warning-list__item","editorial/accordion","yes","no","","0","similarity",""
"abundance-warning-list__item--soft","editorial/accordion","yes","no","","0","similarity",""
"accordion-collapse","editorial/accordion","yes","yes","accordion-collapse","1","exact",""
"align-items-center","layout/helper","yes","yes","align-items-center","1","exact",""
"align-items-end","layout/helper","yes","yes","align-items-end","1","exact",""
"align-items-md-center","layout/helper","yes","yes","align-items-md-center","1","exact",""
"align-items-start","layout/helper","yes","yes","align-items-start","1","exact",""
"bg-blob","layout/helper","yes","yes","bg-blob","1","exact",""
"bg-blob--abundance-dot","layout/helper","yes","no","abundance-blob","0.9","manual",""
"bg-colour--abundance-white-soft","layout/helper","no","no","","0","similarity",""
"bg-colour--neutral--300","layout/helper","yes","yes","bg-colour--neutral--300","1","exact",""
"bg-colour--primary","layout/helper","yes","yes","bg-colour--primary","1","exact",""
"bg-colour--secondary","layout/helper","yes","yes","bg-colour--secondary","1","exact",""
"bg-colour--white","layout/helper","yes","yes","bg-colour--white","1","exact",""
"bg-colour--yellow","layout/helper","yes","no","","0","similarity",""
"bg-mask","layout/helper","yes","yes","bg-mask","1","exact",""
"bg-mask--abundance-bottom","layout/helper","yes","no","abundance-mask--bottom","0.9","manual",""
"bg-mask--abundance-ed-fall","layout/helper","yes","no","abundance-dividers--fall-left","0.9","manual",""
"bg-mask--abundance-ed-right","layout/helper","yes","no","abundance-dividers--rise-right","0.9","manual",""
"bg-mask--abundance-ed-rise","layout/helper","yes","no","abundance-dividers--rise-left","0.9","manual",""
"bg-mask--abundance-footer-peak","layout/helper","yes","no","bg-mask","0.158","similarity","img-responsive (0.067) | bg-mask--t-convex (0.063) | container-medium (0.063) | bg-cap (0.053)"
"bg-mask--abundance-top","layout/helper","yes","no","abundance-mask--top","0.9","manual",""
"bg-white","layout/helper","yes","yes","bg-white","1","exact",""
"body--lg","type/colour","yes","yes","body--lg","1","exact",""
"body--md","type/colour","yes","yes","body--md","1","exact",""
"body--sm","type/colour","no","yes","body--sm","1","exact",""
"body--xl","type/colour","yes","yes","body--xl","1","exact",""
"body--xs","type/colour","no","yes","body--xs","1","exact",""
"brand-blockquote","other","yes","yes","brand-blockquote","1","exact",""
"brand-primary","type/colour","yes","yes","brand-primary","1","exact",""
"brand-secondary","type/colour","yes","yes","brand-secondary","1","exact",""
"choke-1000","other","yes","yes","choke-1000","1","exact",""
"choke-1100","other","yes","yes","choke-1100","1","exact",""
"choke-1200","other","yes","yes","choke-1200","1","exact",""
"choke-300","other","yes","yes","choke-300","1","exact",""
"choke-400","other","yes","yes","choke-400","1","exact",""
"choke-500","other","yes","yes","choke-500","1","exact",""
"choke-600","other","yes","yes","choke-600","1","exact",""
"choke-700","other","yes","yes","choke-700","1","exact",""
"choke-800","other","yes","yes","choke-800","1","exact",""
"choke-900","other","yes","yes","choke-900","1","exact",""
"col","layout/helper","yes","yes","col","1","exact",""
"col-12","layout/helper","yes","yes","col-12","1","exact",""
"col-auto","layout/helper","yes","yes","col-auto","1","exact",""
"col-lg-6","layout/helper","yes","yes","col-lg-6","1","exact",""
"col-md-10","layout/helper","yes","yes","col-md-10","1","exact",""
"col-md-3","layout/helper","yes","yes","col-md-3","1","exact",""
"col-md-4","layout/helper","yes","yes","col-md-4","1","exact",""
"col-md-5","layout/helper","yes","yes","col-md-5","1","exact",""
"col-md-6","layout/helper","yes","yes","col-md-6","1","exact",""
"col-md-7","layout/helper","yes","yes","col-md-7","1","exact",""
"col-md-8","layout/helper","yes","yes","col-md-8","1","exact",""
"col-md-9","layout/helper","yes","yes","col-md-9","1","exact",""
"col-md-auto","layout/helper","yes","yes","col-md-auto","1","exact",""
"col-sm-6","layout/helper","yes","yes","col-sm-6","1","exact",""
"collapse","layout/helper","yes","yes","collapse","1","exact",""
"collapsed","layout/helper","yes","yes","collapsed","1","exact",""
"container","layout/helper","yes","yes","container","1","exact",""
"container-medium","layout/helper","yes","yes","container-medium","1","exact",""
"d-block","layout/helper","yes","yes","d-block","1","exact",""
"d-flex","layout/helper","yes","yes","d-flex","1","exact",""
"d-md-block","layout/helper","yes","yes","d-md-block","1","exact",""
"d-md-none","layout/helper","yes","yes","d-md-none","1","exact",""
"d-none","layout/helper","yes","yes","d-none","1","exact",""
"flex-center","layout/helper","yes","yes","flex-center","1","exact",""
"flex-column","layout/helper","yes","yes","flex-column","1","exact",""
"flex-md-row","layout/helper","yes","yes","flex-md-row","1","exact",""
"g-md-lg","layout/helper","yes","yes","g-md-lg","1","exact",""
"gx-0","layout/helper","yes","yes","gx-0","1","exact",""
"gx-2xs","layout/helper","yes","yes","gx-2xs","1","exact",""
"gx-lg","layout/helper","yes","yes","gx-lg","1","exact",""
"gx-md","layout/helper","yes","yes","gx-md","1","exact",""
"gx-sm","layout/helper","yes","yes","gx-sm","1","exact",""
"gx-xs","layout/helper","yes","yes","gx-xs","1","exact",""
"gy-0","layout/helper","yes","yes","gy-0","1","exact",""
"gy-2xs","layout/helper","yes","yes","gy-2xs","1","exact",""
"gy-md","layout/helper","yes","yes","gy-md","1","exact",""
"gy-sm","layout/helper","yes","yes","gy-sm","1","exact",""
"gy-xs","layout/helper","yes","yes","gy-xs","1","exact",""
"h-100","layout/helper","yes","yes","h-100","1","exact",""
"img-fluid","layout/helper","yes","yes","img-fluid","1","exact",""
"img-responsive","layout/helper","yes","yes","img-responsive","1","exact",""
"justify-content-center","layout/helper","yes","yes","justify-content-center","1","exact",""
"justify-content-md-between","layout/helper","yes","yes","justify-content-md-between","1","exact",""
"justify-content-md-start","layout/helper","yes","yes","justify-content-md-start","1","exact",""
"label--lg","other","no","yes","label--lg","1","exact",""
"label--md","other","no","yes","label--md","1","exact",""
"label--sm","other","no","yes","label--sm","1","exact",""
"label--xs","other","no","yes","label--xs","1","exact",""
"m-b-spacer-0","layout/helper","yes","yes","m-b-spacer-0","1","exact",""
"m-b-spacer-2xs","layout/helper","yes","yes","m-b-spacer-2xs","1","exact",""
"m-b-spacer-3xs","layout/helper","yes","yes","m-b-spacer-3xs","1","exact",""
"m-b-spacer-lg","layout/helper","yes","yes","m-b-spacer-lg","1","exact",""
"m-b-spacer-md","layout/helper","yes","yes","m-b-spacer-md","1","exact",""
"m-b-spacer-xs","layout/helper","yes","yes","m-b-spacer-xs","1","exact",""
"m-l-spacer-auto","layout/helper","yes","yes","m-l-spacer-auto","1","exact",""
"m-r-spacer-2xs","layout/helper","yes","yes","m-r-spacer-2xs","1","exact",""
"m-t-spacer-0","layout/helper","yes","yes","m-t-spacer-0","1","exact",""
"m-t-spacer-2xs","layout/helper","yes","yes","m-t-spacer-2xs","1","exact",""
"m-t-spacer-3xs","layout/helper","yes","yes","m-t-spacer-3xs","1","exact",""
"m-t-spacer-lg","layout/helper","yes","yes","m-t-spacer-lg","1","exact",""
"m-t-spacer-md","layout/helper","yes","yes","m-t-spacer-md","1","exact",""
"m-t-spacer-sm","layout/helper","yes","yes","m-t-spacer-sm","1","exact",""
"m-t-spacer-xs","layout/helper","yes","yes","m-t-spacer-xs","1","exact",""
"m-x--auto","layout/helper","yes","yes","m-x--auto","1","exact",""
"mx-0","layout/helper","yes","yes","mx-0","1","exact",""
"mx-auto","layout/helper","yes","yes","mx-auto","1","exact",""
"mx-md-0","layout/helper","yes","yes","mx-md-0","1","exact",""
"offset-md-1","layout/helper","yes","yes","offset-md-1","1","exact",""
"p-all-spacer-md","layout/helper","yes","yes","p-all-spacer-md","1","exact",""
"p-all-spacer-sm","layout/helper","yes","yes","p-all-spacer-sm","1","exact",""
"p-b-spacer-0","layout/helper","yes","yes","p-b-spacer-0","1","exact",""
"p-b-spacer-md","layout/helper","yes","yes","p-b-spacer-md","1","exact",""
"p-t-spacer-2xs","layout/helper","yes","yes","p-t-spacer-2xs","1","exact",""
"p-t-spacer-3xs","layout/helper","yes","yes","p-t-spacer-3xs","1","exact",""
"p-t-spacer-md","layout/helper","yes","yes","p-t-spacer-md","1","exact",""
"p-t-spacer-sm","layout/helper","yes","yes","p-t-spacer-sm","1","exact",""
"p-t-spacer-xs","layout/helper","yes","yes","p-t-spacer-xs","1","exact",""
"p-x-spacer-xs","layout/helper","yes","yes","p-x-spacer-xs","1","exact",""
"p-y-spacer-4xs","layout/helper","yes","yes","p-y-spacer-4xs","1","exact",""
"p-y-spacer-lg","layout/helper","yes","yes","p-y-spacer-lg","1","exact",""
"p-y-spacer-md","layout/helper","yes","yes","p-y-spacer-md","1","exact",""
"p-y-spacer-sm","layout/helper","yes","yes","p-y-spacer-sm","1","exact",""
"p-y-spacer-xl","layout/helper","yes","yes","p-y-spacer-xl","1","exact",""
"position-relative","layout/helper","yes","yes","position-relative","1","exact",""
"row","layout/helper","yes","yes","row","1","exact",""
"row-cols-1","layout/helper","yes","yes","row-cols-1","1","exact",""
"row-cols-2","layout/helper","yes","yes","row-cols-2","1","exact",""
"row-cols-lg-3","layout/helper","yes","yes","row-cols-lg-3","1","exact",""
"row-cols-lg-4","layout/helper","yes","yes","row-cols-lg-4","1","exact",""
"row-cols-md-2","layout/helper","yes","yes","row-cols-md-2","1","exact",""
"row-cols-md-3","layout/helper","yes","yes","row-cols-md-3","1","exact",""
"row-cols-md-4","layout/helper","yes","yes","row-cols-md-4","1","exact",""
"row-cols-sm-2","layout/helper","yes","yes","row-cols-sm-2","1","exact",""
"row-cols-sm-3","layout/helper","yes","yes","row-cols-sm-3","1","exact",""
"row-cols-sm-auto","layout/helper","yes","yes","row-cols-sm-auto","1","exact",""
"si-accordion","editorial/accordion","yes","yes","si-accordion","1","exact",""
"si-accordion-item__body","editorial/accordion","yes","yes","si-accordion-item__body","1","exact",""
"si-accordion-item__header","editorial/accordion","yes","no","","0","similarity",""
"si-accordion-item__header-btn","editorial/accordion","yes","yes","si-accordion-item__header-btn","1","exact",""
"si-accordion-item__header-icon-container","editorial/accordion","yes","yes","si-accordion-item__header-icon-container","1","exact",""
"si-accordion-item__header-interior","editorial/accordion","yes","yes","si-accordion-item__header-interior","1","exact",""
"si-accordion-item__header-text-container","editorial/accordion","yes","yes","si-accordion-item__header-text-container","1","exact",""
"si-accordion-item__heading","editorial/accordion","yes","yes","si-accordion-item__heading","1","exact",""
"si-accordion-item__icon","editorial/accordion","yes","yes","si-accordion-item__icon","1","exact",""
"si-btn","buttons/links","yes","yes","si-btn","1","exact",""
"si-btn--lg","buttons/links","yes","yes","si-btn--lg","1","exact",""
"si-btn--md","buttons/links","no","yes","si-btn--md","1","exact",""
"si-btn--primary","buttons/links","yes","yes","si-btn--primary","1","exact",""
"si-btn--secondary","buttons/links","yes","yes","si-btn--secondary","1","exact",""
"si-btn--sm","buttons/links","no","yes","si-btn--sm","1","exact",""
"si-btn--tertiary","buttons/links","no","yes","si-btn--tertiary","1","exact",""
"si-btn--wrap","buttons/links","no","yes","si-btn--wrap","1","exact",""
"si-btn-group","buttons/links","no","yes","si-btn-group","1","exact",""
"si-btn-group--space-between","buttons/links","no","yes","si-btn-group--space-between","1","exact",""
"si-btn-group--stretch","buttons/links","no","yes","si-btn-group--stretch","1","exact",""
"si-btn-with-icon","buttons/links","no","yes","si-btn-with-icon","1","exact",""
"si-btn-with-icon--before","buttons/links","no","yes","si-btn-with-icon--before","1","exact",""
"si-card","cards/panels","yes","yes","si-card","1","exact",""
"si-card--0","cards/panels","no","yes","si-card--0","1","exact",""
"si-card--2xs","cards/panels","no","yes","si-card--2xs","1","exact",""
"si-card--full-height","cards/panels","no","yes","si-card--full-height","1","exact",""
"si-card--lg","cards/panels","no","yes","si-card--lg","1","exact",""
"si-card--md","cards/panels","yes","yes","si-card--md","1","exact",""
"si-card--no-border-radius","cards/panels","no","yes","si-card--no-border-radius","1","exact",""
"si-card--primary","cards/panels","no","yes","si-card--primary","1","exact",""
"si-card--secondary","cards/panels","yes","yes","si-card--secondary","1","exact",""
"si-card--sm","cards/panels","no","yes","si-card--sm","1","exact",""
"si-card--tertiary","cards/panels","no","yes","si-card--tertiary","1","exact",""
"si-card--xs","cards/panels","no","yes","si-card--xs","1","exact",""
"si-choice-form-group","forms","yes","yes","si-choice-form-group","1","exact",""
"si-choice-form-group__input","forms","yes","yes","si-choice-form-group__input","1","exact",""
"si-choice-form-group__label","forms","yes","yes","si-choice-form-group__label","1","exact",""
"si-choice-form-group__labels-container","forms","yes","yes","si-choice-form-group__labels-container","1","exact",""
"si-fieldset","forms","yes","yes","si-fieldset","1","exact",""
"si-fieldset__input-container","forms","yes","yes","si-fieldset__input-container","1","exact",""
"si-fieldset__input-container--vertical","forms","yes","yes","si-fieldset__input-container--vertical","1","exact",""
"si-fieldset__legend","forms","yes","yes","si-fieldset__legend","1","exact",""
"si-form","forms","yes","yes","si-form","1","exact",""
"si-form-group","forms","yes","yes","si-form-group","1","exact",""
"si-form-row","forms","yes","yes","si-form-row","1","exact",""
"si-heading-1","type/colour","yes","yes","si-heading-1","1","exact",""
"si-heading-2","type/colour","yes","yes","si-heading-2","1","exact",""
"si-heading-3","type/colour","yes","yes","si-heading-3","1","exact",""
"si-heading-4","type/colour","yes","yes","si-heading-4","1","exact",""
"si-heading-5","type/colour","yes","yes","si-heading-5","1","exact",""
"si-heading-6","type/colour","no","yes","si-heading-6","1","exact",""
"si-horizontal-rule","data/tables","yes","yes","si-horizontal-rule","1","exact",""
"si-horizontal-rule--2xs","data/tables","yes","yes","si-horizontal-rule--2xs","1","exact",""
"si-horizontal-rule--invert","data/tables","yes","yes","si-horizontal-rule--invert","1","exact",""
"si-horizontal-rule--thick","data/tables","yes","yes","si-horizontal-rule--thick","1","exact",""
"si-icon","other","yes","yes","si-icon","1","exact",""
"si-icon--sm","other","yes","yes","si-icon--sm","1","exact",""
"si-input","forms","yes","yes","si-input","1","exact",""
"si-input-label","forms","yes","yes","si-input-label","1","exact",""
"si-input-label--lg","forms","yes","yes","si-input-label--lg","1","exact",""
"si-table","data/tables","yes","yes","si-table","1","exact",""
"si-table--borders-between-rows","data/tables","yes","yes","si-table--borders-between-rows","1","exact",""
"si-table--sm","data/tables","yes","yes","si-table--sm","1","exact",""
"si-table--sm-compact","data/tables","yes","yes","si-table--sm-compact","1","exact",""
"sr-only","layout/helper","yes","yes","sr-only","1","exact",""
"text-center","layout/helper","yes","yes","text-center","1","exact",""
"text-choke--640","layout/helper","yes","yes","text-choke--640","1","exact",""
"text-choke--960","layout/helper","yes","yes","text-choke--960","1","exact",""
"text-colour--yellow","layout/helper","yes","no","","0","similarity",""
"text-left","layout/helper","yes","yes","text-left","1","exact",""
"text-md-start","layout/helper","yes","yes","text-md-start","1","exact",""
"text-sm-end","layout/helper","yes","yes","text-sm-end","1","exact",""
"text-white","layout/helper","yes","yes","text-white","1","exact",""
"type-black","type/colour","yes","yes","type-black","1","exact",""
"visible-desktop","other","yes","yes","visible-desktop","1","exact",""
